Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Country,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,age,pmp_yn,agile_yn,excel,primavera,job_simp,seniority
Digital Project Manager,CA$30k-CA$61k (Glassdoor Est.),"As a Digital Project Manager at Thinkwell Studio Montreal, your role will be to integrate and promote PMI standard project management processes and best practices throughout projects and the company. You will create, maintain and update detailed project plans to drive projects and ensure all of the deliverables are satisfactorily delivered on time and within budget . By collaborating with the product owner, technical leads, development team and clients, the Digital Project Manager will maintain clarity among stakeholders, prevent scope creep, assess risks, implement change requests and ensure the overall success of projects.You will have an in-depth understanding of how technology can help Thinkwell and our clients to achieve our business goals.

Responsibilities
Provide end-to-end project management
Integrate PMI standard project management processes and best practices
Create, maintain and update detailed project plans and artifacts
Scope project requirements, prepare budget and monitor progress
Support the Product Owner on all aspects of the project
Work with the Technical Lead and Technical Director to develop and support project management plans that reflect the technical aspect of projects
Achieve milestones on time and ensure quality standards are met
Maintain organizational process assets including lessons learned register, historical information, risk matrix, etc.
Develop trusted relationships with clients and listen actively to their concerns and questions.
Proactively identify and mitigate project risks
Anticipate and address potential scope creep internally and with client
Facilitate change requests
Regularly communicate project progress with relevant stakeholders
Seek opportunities to improve project management processes within the company via feedback
Lead by example and exemplify the company's Core Values in actions and behaviors
Requirements
5+ years of experience as a web/digital/interactive project manager, ideally in an agile/scrum environment.
Bilingual oral and written (English/French)
PMP Certification
Bachelor’s degree in relevant field
Excellent technical documentation skills
Advanced skills in spreadsheet creation (Excel, Google Sheets)
A working knowledge and/or understanding of new technologies and audio/ video technology in general is an advantage.
Web savvy with a working understanding/experience in SDLC including strategy, requirements definition, design, usability, content development, web development and QA.
Experience with Content Management Systems (CMS)
Able to communicate effectively with programming, test, IT, analysts and architecture personnel.
Critical thinker and problem-solving skills
Excellent interpersonal skills.",3.4,"Thinkwell Group
3.4",Montreal,Canada,"Los Angeles, CA",51 to 200 employees,2001,Company - Private,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation",$100 to $500 million (CAD),-1,0,0,30,61,45.5,"Thinkwell Group
",19,1,1,1,0,na,na
Construction Project Coordinator - Low Rise,CA$30k-CA$61k (Glassdoor Est.),"Saturday, May 9, 2020

We are proud to be one of North America’s largest integrated master-planned community homebuilders having built over 15,000 new homes and condominiums. We are committed to building excellence and in creating communities that are well located, rich in amenities and full of life. We are proud of our history and excited about our future as we continue to realize our vision to provide families and individuals with a place they can truly call home.

Position Overview

Working out of the construction site office, this position will be directly responsible for coordinating all administrative work for the site construction team. This requires an organized individual with excellent verbal and written communication skills, attention to detail, and a high level of computer literacy. This position will assist the Site Superintendent, along with all site staff, in a multitude of functions throughout all stages of the construction process.

Key Functions & Duties

Responsibilities of this position include, but are not limited to:
• Lead JHSC meetings and Tool Talks.
• Establish QA’s, clean up the QA’s, and follow through with trades.
• Assist with PDI clean up
• Prepare for Energy Star check
• Prepare for frame walks
• Walk thru units & inspections with Superintendents
• Monitoring and learning the schedule
• Deficiency lists for Holmes on Homes and follow up with trades
• Ensure all project documents are uploaded into the system
• Other work and tasks related to company's objectives, or as required by the Site Superintendent(s)

Skills and Qualifications

• Strong communication skills, both written and oral
• Ability to prioritize and complete work on time while under pressure
• Understanding of construction codes and safety codes
• Able to work independently and as part of a team
• Ability to review and read drawings
• Ability to recognize and order materials
• Understanding of technical issues
• Ability to take on a leadership role and handle difficult situations
Hardware/Software:
• Must be proficient with MS Office applications, word, excel, outlook express
• Adaptable to learn new computer systems (Newstar – REMS)
Experience:
• 1 Year to 18 months in a Project Coordinator role.
• Optional – previous experience as a labourer/handyperson
Education:
• Completion of a college/university program related to Construction Management or Construction Engineering.

Empire Communities is committed to providing a barrier-free work environment and as such, any accommodations are available to applicants with disabilities upon request during the recruitment process.

Other details
Pay Type
Salary",4.5,"Empire Communities
4.5",Niagara Falls,Canada,"Vaughan, Canada",501 to 1000 employees,1993,Company - Private,Building & Construction,"Building, Repair & Maintenance",Unknown / Non-Applicable,-1,0,0,30,61,45.5,"Empire Communities
",27,0,0,1,0,na,na
Project Manager Housing Development,CA$30k-CA$61k (Glassdoor Est.),"Temporary Duration: 24 months
Salary Range: $73,355 - $86,300 annually
JOB SUMMARY
Responsible for developing new housing projects, ensuring the sustainability and growth of affordable housing within the Niagara region. Provides oversight on the administration of new developments and providing advice & guidance to housing developers, management, municipal officials and other related stakeholders on program specifics, including compliance with federal & provincial requirements.

EDUCATION
• Diploma from a 3-year college program or University Certification in Construction, Project Management or other related fields

KNOWLEDGE
• 3 years in project management and construction or architectural design, or related field
• 5 years in project management and construction or architectural design, or related field is preferred
• Knowledge of Housing Services Act, Occupational Health & Safety Act, Ontario Fire Code, Ontario Building Code
• Knowledge of budgetary and financial processes, including development of construction budgets
• Proficient in Microsoft Office Suite, including Project Management, Excel, Word, PowerPoint or other similar software

KEY RESPONSIBILITIES
1. Conducting site inspections and providing general project management with general contractors for new developments to ensure quality assurance throughout the life of the project, including but not limited to:

• Monitoring all aspects of new development to ensure compliance with plans, specifications, and Ontario Building Code while ensuring the ongoing cleanliness and safety of the project
• Completing change orders on design plan as needed, escalating to the Manager Housing Programs when required
• Updating the Board and Development Committee through progress reports and inspections assessments at various intervals, ensuring all phases of the new developments are completed on time and on budget
• Ensuring invoices are reflective of the agreement and work completed to-date by managing progress billing
• Project managing & coordinating the general contractor, including, scheduling of meetings & inspections, managing the budget, and negotiating for appropriate resolutions, as required

2. Managing the administration of new developments, such as conducting the necessary research and building the business case for Niagara Regional Housing and provincially funded projects, including but not limited to:

• Conducting the necessary research to build a successful business case, including a thorough needs analysis to identify appropriate location for new build, ensuring the appropriate criteria is met with accessibility by public transportation, zoning, and other requirements
• Developing a business case per the required guidelines for the Board to make an informed decision, including the project budget with build and operating costs, zoning and environmental assessment, building plan, timeline, and an assessment of client/developer eligibility
• Creating RFPQ (RFP qualification) from architectural firms to assess the project feasibility followed by an RFP for the architect firm to be selected; repeating the process for contractors, ultimately ensuring approval from the Development Committee and the Board
• Finding key players for the Development Committee (i.e. planning specialist, finance specialist, and other stakeholders) from each required department
• Maintaining the Ministry system (GOS) and ensuring it is up-to-date with the required documents, milestones and other necessary information
Advising and monitoring new developments of affordable housing with external parties such as Not-For-Profit organizations, agencies, and private developers, including but not limited to:
• Reviewing the administrative process required for the new development and advising to ensure program compliance
• Ensuring the program is sensible in terms of agreements with general contractors, plan specifications, budget and timeline for the parties respective Board approval
• Providing advice and guidance to clients (i.e. housing developers), management, municipal officials and other related stakeholders on program requirements as the program expert , including liaising in the resolution of challenges and issues
• Measuring project milestones to ensure project progress to receive the next round of funding
• Monitoring of all aspects of new development projects to ensure continued compliance with plans, specifications, and Ontario Building Code, and ensuring cleanliness and safety of the project

Let us know why you would be an excellent team member by submitting your online application. We thank all candidates for their interest however, only those candidates selected for an interview will be contacted.
HOW TO APPLY

Interested applicants are requested to forward their application/resume, clearly marked as Job Opening # 25602 – Project Manager Housing Development, to Human Resources before the posting close date.

For your convenience you may use one of the options noted below:

• e-mail to myHR@niagararegion.ca, OR
• Fax to (905) 641-2232, OR
• Delivery or mail to myHR Reception Desk at:

Niagara Region, Human Resources - Campbell West
1815 Sir Isaac Brock Way
Thorold ON L2V 4T7",-1,Niagara Regional Housing,Thorold,Canada,"Thorold, Canada",51 to 200 employees,-1,Government,Real Estate,Real Estate,$10 to $25 million (CAD),-1,0,0,30,61,45.5,Niagara Regional Housing,-1,0,0,1,0,na,na
Construction Quality Assurance Technician,CA$30k-CA$61k (Glassdoor Est.),"Saturday, May 9, 2020

We are proud to be one of North America’s largest integrated master-planned community homebuilders having built over 15,000 new homes and condominiums. We are committed to building excellence and in creating communities that are well located, rich in amenities and full of life. We are proud of our history and excited about our future as we continue to realize our vision to provide families and individuals with a place they can truly call home.

Position Overview

The Quality Assurance Technician will be responsible for inspecting all Low-Rise Projects to ensure it meets with the design and construction elements in compliance with drawings, quality and contract specifications. The Quality Assurance Technician inspects the works at five stages during the build; 1) Foundation 2) Framing 3) Drywall 4) Finishing 5) Final. They will ensure that quality control is carried out according to Empire’s quality standards and practices.

Key Functions & Duties

Responsibilities of this position include, but are not limited to:
• Maintain Empire’s quality standards on all projects.
• Accountable for a thorough inspection from foundation through to final stage. Responsible for the completion of reports, data entry into Newstar and for the updating of construction schedules based on the five inspection points.
• Confirms O&E’s and validates work against any upgrades. Ensure the workmanship is prescribed as in scope of work.
• Inspect the overall conditions of the home and note any damages that need to be addressed.
• Provides clear documentation of findings and results. Submit documentation and communicates results as directed by the Quality Assurance Manager
• Responsible for conducting a thorough final inspection in preparation for the Pre Home Delivery with to the homeowner.
• determine if home has passed inspections at all stages and issue a completion certificate.
• Other duties as may be assigned

Skills and Qualifications

• Minimum 3-5 year’s construction experience.
• High school education or higher required
• Prior work experience as a Project Coordinator in residential construction
• Excellent organizational skills with the ability to recognize and meet deadlines in a fast-paced work environment.
• Excellent verbal and written communication skills
• Strong interpersonal skills and desire to work within a collaborative team
• Ability to work independently under general guidance and direction
• Knowledge of Ontario Building Code and Health & Safety regulations
• Good knowledge of construction methodology, material and regulations.

Physical Demands

• Ability to carry drawings and diaries as required.
• Ability to use stairs, ladders and climb over rough terrain.
• Work normally requires a high level of physical effort in walking, bending, stooping and climbing.
• Primary work location is site office or project site.
• Project related travel anticipated.
• Exposure to construction work site environment in all seasons.

Empire Communities is committed to providing a barrier-free work environment and as such, any accommodations are available to applicants with disabilities upon request during the recruitment process.

Other details
Pay Type
Salary",4.5,"Empire Communities
4.5",Niagara Falls,Canada,"Vaughan, Canada",501 to 1000 employees,1993,Company - Private,Building & Construction,"Building, Repair & Maintenance",Unknown / Non-Applicable,-1,0,0,30,61,45.5,"Empire Communities
",27,0,0,1,0,na,na
Site Manager,CA$30k-CA$61k (Glassdoor Est.),"Site Manager
# of openings

1

City


Toronto

State/Territory


Ontario

Apply Now

Site Manager

Description :

Self-storage is one of the fastest growing sectors of the retail sales industry. StorageMart is one of the largest independent providers of self storage for business and domestic customers in Canada, the United States and the U.K.

StorageMart is currently seeking an energetic and proactive Site Manager.

Responsibilities :
Provide outstanding customer service by assisting customers with their storage needs
Assist reservation and walk-in customers in renting storage units (no cold calling!)
Sell merchandise, moving and packaging supplies
Ensure the property is customer ready -- making the property appearance safe and welcoming
Manage, verify, balance cash drawer and prepare deposits
Qualifications :
Experience in retail sales, hospitality, customer service or casual dining
Excellent customer service skills
Detail oriented with strong organizational and time management skills
Willingness to work outside, clean units and maintain grounds
Valid driver's license and vehicle/insurance required (mileage paid!)
Reliable transportation to, from and during work
Basic computer skills and physical ability to do the job (lifting up to 50 pounds, walking large sites, etc).
About StorageMart:

StorageMart is a family owned business that sets the bar high for self-storage. Easy. Clean. Service. We live by those words. Come join our team and give your career a jump-start to a bright future.

We offer a competitive total compensation package that includes a base hourly rate, commission, extended medical insurance, rich employer contributions to your retirement savings, and paid time off.

Committed to good work/life balance with flexible schedules.

Related Careers: Customer Service, Site Manager, Manager, Service Industry, Store Manager, Management, Hospitality, Sales, Retail, Property Management, Real Estate, Manufacturing, Food Industry, General Labor, Supervisor, General Manager, Moving and Storage Industry, etc. Storage-Mart, Storage Mart",4.3,"StorageMart
4.3",Toronto,Canada,"Columbia, MO",501 to 1000 employees,1999,Company - Private,Self-Storage Services,Consumer Services,$100 to $500 million (CAD),"Public Storage, Extra Space Storage, CubeSmart",0,0,30,61,45.5,"StorageMart
",21,0,0,1,0,na,na
"Project Manager (Burnaby, BC or Langley, BC)",CA$30k-CA$61k (Glassdoor Est.),"You believe in quality work. You see the big picture of a project—from start to finish. You know what is imperative and what can wait. You’re a problem solver who won’t let a project hiccup slow you down. You’re proactive, you pitch in where needed. With intuition and strategic thinking, you prioritize competing demands as you lead your team to deliver on time.

Binnie is looking for Project Managers to join our growing Development & Infrastructure Group, which provides professional services for municipal infrastructure programs, large multi-family housing projects, recreational facilities, and major commercial and industrial developments.

Projects typically include underground infrastructure renewal, drainage improvement and in-stream works, stormwater management and green infrastructure, pump stations and facilities, roadway geometrics and rehabilitation, cycling facilities and pathways, and traffic calming design.

We have full-time positions available in both our Burnaby Office, located near scenic Deer Lake, and our new Langley office, located near Highway 1 and 200th Street Interchange, and the Golden Ears Bridge and Carvolth Bus Exchange with ample parking, amenities and restaurants close by.

You will work with our experienced Senior Project Managers and our talented engineering team to ensure we meet our client needs. This is an excellent opportunity for advancement. You will utilize your excellent client networking and business development skills to secure new business opportunities while maintaining strong relationships with our existing clients.

YOUR ROLE:
Leading civil engineering design work, from the conceptual level through to detailed construction drawings
Acting as the key contact on projects working with stakeholders, consultants, contractors and support staff
Engaging in active business development
Preparing proposals and reports in coordination with our Proposal Team
Developing project schedules and coordinating resources
Monitoring budget and progress on projects
Training under the supervision of our Senior Project Managers
Undertaking quality control procedures and monitoring design standards on completed work
WHAT YOU BRING:
5 to 10 years of related experience in local land development and/or municipal engineering
Registration as a P.Eng. with EGBC, an AScT with ASTTBC, or equivalent
Valid Class 5 Driver’s License and personal vehicle
Exceptional project management, design, and time management skills
Demonstrated team management and delegation skills
Proven conflict resolution capabilities
Strong communication and time management skills and ability to work concurrently on several different projects
Excellent attention to detail to consistently produce accurate, high quality work
Confidence to perform design work with minimal supervision
ABOUT BINNIE:

We are the people behind the infrastructure you use every day. We’re small enough to know each other’s names, and big enough to be where we’re needed. As an employee-owned firm and one of Canada’s Top 100 Employers, we take pride in our work and are respected as one of the top engineering firms in British Columbia. We support some of the most important infrastructure in the province and beyond.

We’re looking for professionals who want to build careers and communities that last. We can’t do it without you.

THE PERKS:

People come first. We support you with the education, mentoring, and growth opportunities you need to build an interesting career. As an employee-owned firm, we create a clear internal growth path that can keep up with even the most ambitious professionals. Whether it’s soccer or coffee clubs, hockey pool, lunchtime yoga, Movember or Bowling for Big Brothers, everyone can get involved in their own way.

Interested in this job?

Let us know why you want to work at Binnie, and why you would be a fit as our next Project Manager. Submit your application at the link above.

Thank you for your interest in Binnie. We look forward to reviewing your application.",4.2,"Binnie
4.2",Burnaby,Canada,"Burnaby, Canada",201 to 500 employees,1969,Company - Private,Architectural & Engineering Services,Business Services,Unknown / Non-Applicable,-1,0,0,30,61,45.5,"Binnie
",51,0,0,1,0,na,na
Construction Manager,CA$30k-CA$61k (Glassdoor Est.),"General Duties and Responsibilities
Researching clients and potential clients, procuring of major new projects, building effective relationships with general contractors, owners, developers, architects, engineers, suppliers, and manufacturers at a senior level, advising major clients about new and effective products and services, and actively seeking out new opportunities, projects and clients for Canem.
Managing projects procured in the Branch, reviewing job progress & projection reports on a monthly basis with the project managers, ensuring profitability and achievement of financial goals of large construction projects, directing the project managers for re-design and purchasing major equipment for projects.
Directing preplanning activities to ensure that preplans adhere to Canem philosophies, assign project teams, direct purchasing of materials and tools, directing quality controls on installations and design liabilities, participating in all major project pre-plan meetings and ensuring effective execution of project in accordance with the preplan and project close-out.
Working closely with branch and corporate management in setting and achieving of branch and corporate financial objectives, participating in management of branch staff and responsibilities as assigned by Branch Manager, maximizing profitability of branch and projects by ensuring cost control and effective project management as required
Managing employee relations and resolving of employee concerns and conflicts directly under supervision, providing direction in training of project managers, assistants and assist with the training of foremen, assist with the hiring of field manpower, building positive relationships with project managers, estimators, and assistants, and supervising project managers as assigned by Branch Manager.
Evaluating, and negotiating contracts for all major projects, as assigned by Branch Manager.
Assisting the Estimators in the budgeting process and in closing all major tendered project opportunities to ensure compliance with the Branch Business Plan.
Providing leadership and positive motivation for project staff and company partners by acting as a responsible and goal-oriented team player and leading by example in achieving excellence and being accountable for results and outcomes.
Position Requirements

The Construction Manager position requires a highly experienced, senior manager of commercial, communication and service electrical projects with proven success in managing project and people and achieving excellent business results. The ability to network, market and sell services is a key requirement of this position.

Preferred Qualifications
6 – 8 years experience in managing electrical construction projects
4 – 6 years experience in supervising and leading project management staff
Certification as electrician’s journeyman or relevant degree or diploma
Current knowledge of electrical, building and municipal codes and regulations
Excellent knowledge of industry products, practices and standards
Outstanding sales, marketing and networking skills
Ability to learn quickly, be flexible and adaptable
Strong organizational abilities and demonstrated attention to detail
Strong verbal and written communication skills
Strong time management skills, specifically the ability to multi-task and prioritize
Able to work independently and in team environments
Excellent knowledge of and proficiency in required computer programs
SAP knowledge an asset
Knowledge of engineering software and engineering skills an asset
PMP certification considered an asset
If you feel that you would be the right fit for the team and have the skills and drive to succeed, please email your cover letter stating salary expectations and resume in confidence to careers@canem.com quoting “Construction Manager – Vancouver” in the subject line.",3.1,"Canem
3.1",Vancouver,Canada,"Richmond, Canada",501 to 1000 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (CAD),-1,0,0,30,61,45.5,"Canem
",60,1,0,1,0,na,na
Deputy Construction Manager,CA$30k-CA$61k (Glassdoor Est.),"Deputy Construction Manager-TAME-CAED02289237

Description

DEPUTY CONSTRUCTION MANAGER

REQUISITION NUMBER: TAME-CAED02289237

At Bombardier Transportation, our trains and rail solutions move millions of people safely and reliably around the world, every single day. Join us, and you’ll be part of a global team, sharing knowledge, experience and ideas across countries and cultures, and boosting our reputation as a global leader in rail technology. Your work will have a truly human impact, connecting communities, cities and businesses, and helping people to get where they need to be. It’s all about progress.

Join us as a Deputy Construction Manager and you’ll be looking at a career-defining role based in Edmonton.

As a Deputy Construction Manager, you will Assist the Construction Manager with management of all interfaces between the BT Systems Scope of Work and all the systems, structures and equipment as provided by the DBJV Civil Scope of Work to ensure successful integration.

Your responsibilities will include:
Directly manage a project team including project administrators, schedulers, administrative support personnel and project controllers to ensure the execution of the project is on time and within budget;
Monitor, recommend, and initiate when necessary, changes to or corrective actions for commercial issues, product design, manufacturing and/or services to assure compliance with contract requirements, and to maintain or improve project performance;
Establish and maintain partner interfaces to achieve the goals of the joint venture and system end user. To the fullest extent possible, anticipate and satisfy the partner and end-user needs, while operating within established policies, procedures and commercial guidelines.
Qualifications

Key requirements:
Degree in Civil or Electrical Engineering preferred;
Five (5) years of technical/engineering in a relevant position;
Knowledge of and experience with risk and opportunity assessment tools and in cost recovery management;
Experience and knowledge of Project Management skills, including processes and procedures, customer interface, schedule management, scope management, commercial management, personnel administration, and negotiation;
Experience reading and understanding construction drawings;
Good communication and interpersonal skills, ability to interface internal and external customers, including technicians, engineers and middle / senior management.
We thank all applicants for their interest, however, only those under consideration will be contacted.

About Bombardier Transportation
Bombardier Transportation is a global mobility solution provider leading the way with the rail industry’s broadest portfolio. It covers the full spectrum of solutions, ranging from trains to sub-systems and signalling to complete turnkey transport systems, e-mobility technology and data-driven maintenance services. Combining technology and performance with empathy, Bombardier Transportation continuously breaks new ground in sustainable mobility by providing integrated solutions that create substantial benefits for operators, passengers and the environment. Headquartered in Berlin, Germany, Bombardier Transportation employs around 39,850 people and its products and services operate in over 60 countries.

Bombardier is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability status, veteran status, or any other characteristic protected by Federal, National, or Local Laws.

Job: Civil Engineering
Primary Location: CA-AB-Edmonton
Organization: Transportation
Schedule: Full-time
Employee Status: Regular

Job Posting: 11.05.2020, 1:50:30 PM

Unposting Date: 10.06.2020, 11:59:00 PM",3.2,"Bombardier
3.2",Edmonton,Canada,"Montreal, Canada",10000+ employees,1942,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (CAD),-1,0,0,30,61,45.5,"Bombardier
",78,0,0,0,0,na,na
Construction Project Manager,CA$30k-CA$61k (Glassdoor Est.),"The Role:
Looking for a highly motivated Project Manager, who is passionate about the construction process to join our team.

Responsible for managerial and administrative aspects of a project. Including, estimating, scheduling, quality control, progress reports, progress billing, design review and coordination, cost reporting, safety, and proposal preparation
Ensure an accurate and complete project estimate
Work closely with owners and the design team to develop preliminary concept drawings
Participate in the proposal meeting with the owner to review the scope of work, discuss ways to reduce costs, and provide value engineering ideas
Oversee the buyout process and the selection of subcontractors
Conduct bi-weekly jobsite meetings
Make sound decisions under tight deadlines
Organize, plan, and manage multiple activities to accomplish desired results
Commit to quality by evaluating project-related processes
Make necessary changes, use customer input to make improvements, and meet/exceed internal and external client expectations
Act in a manner of integrity that shows support for the company, its values, and other associates, while maintaining a constant focus on meeting/exceeding customer requirements and expectations

The Company:
National GC ranked as one of the best places to work.
Competitive Salary + performance based bonus

Essential Skills / Qualifications:
BS in Engineering or related field; with a minimum of 3.0 GPA
5-10 years of design/build experience
Proficiency using Word, Excel, Outlook and Microsoft Project

About Fircroft:
Fircroft has been placing people in specialist technical industries for approaching half a century, focusing on mid to senior level engineers for contract and permanent roles worldwide. By applying for this job you give consent for Fircroft to contact you, via email & telephone, to discuss your application along with future positions and Fircroft's services.
Fircroft is registered as a Data Controller with the Information Commissioner as required under the General Data Protection Regulation 2016/679. Fircroft will only process your personal data for the specific purposes of managing your application.",3.8,"Fircroft
3.8",Calgary,Canada,"Warrington, United Kingdom",501 to 1000 employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (CAD),"Airswift, NES Global Talent, Morson International",0,0,30,61,45.5,"Fircroft
",50,0,0,1,0,na,na
High Rise - Sr. Project Manager,CA$30k-CA$61k (Glassdoor Est.),"Tuesday, May 26, 2020

We are proud to be one of North America’s largest integrated master-planned community homebuilders having built over 15,000 new homes and condominiums. We are committed to building excellence and in creating communities that are well located, rich in amenities and full of life. We are proud of our history and excited about our future as we continue to realize our vision to provide families and individuals with a place they can truly call home.

Key Functions & Duties

The Senior Project Manager is responsible for all aspects of project management which includes project start up, obtaining building permits, preparing tenders, budgets, estimates and construction schedules. The position of Senior Project Manager will work with internal and external personnel to ensure project construction is executed in a timely and cost-effective manner while maintaining integrity of design.

Job Duties:
Lead all work activities on assigned high rise construction projects to ensure the design, project specifications, regulations and safety codes are met.
Plan all project timelines, milestones and deliverables. Establish and deliver mechanisms for tracking and communicating project progress.
Lead, develop and assign responsibilities to Assistant Project Managers and/or Project Coordinators to ensure performance standards are met.
Coordinates Site Superintendents and project workforce needs with the Director, Field Operations and the President, High Rise Division.
Liaise with the Site Construction Team on matters impacting the progress of the project to resolve any constructional issues in a timely manner.
Primary liaison with Site Superintendents and Sub-trades.
Work with the Site Construction Team, consultants, sub-trades and suppliers to ensure they are meeting all project contractual obligations.
Oversees and attends regular construction meetings to review schedules/activities associated with the High-Rise Construction division.
Oversee total construction effort to ensure project is constructed in accordance with design budget and schedule.
Interface regularly with Site Construction Team, client representatives, architect representatives, subcontractors, etc.
Identify and resolve conflicts with project teams and associate work; create contingency plans to mitigate risk.
Closely monitor the efforts and billing of third-party workers, such as consultants, contractors and other specialists.
Establish and deliver mechanisms for tracking project progress and reporting.
Manage completion requests and Tenant Occupancy dates and Project close out.
Oversee and ensure that safe work practices and procedures are being followed during site visits.
Oversees and attends regular construction meetings to review schedules/activities associated with the assigned High-Rise Construction projects.
Meets regularly with President, High Rise Division to report on project progress.
Steers project(s) through design, permits and construction phases to deliver on time and within budget.
Skills and Qualifications:
Minimum of Post-secondary Diploma or Degree in building technology or a construction related field.
Minimum of 10 years’ of direct work experience working in residential high rise construction of with 7 years’ of supervisory and project management experience.
Strong management, delegation, planning and leadership skills.
Thorough understanding of construction methods, scheduling and blueprint reading
Excellent communication, integration, problem-solving and interpersonal skills.
Excellent project management skills, including budgeting, scheduling and directing associates work efforts
Ability to deal effectively in demanding situations
Highly effective organizational, planning and time management skills
Results oriented with the ability to interpret and effectively manage multiple and competing priorities and time lines.
Thorough knowledge of Ontario Building Code
Microsoft Office applications, Excel, Word, Outlook Express, MS Project

Empire Communities is committed to providing a barrier-free work environment and as such, any accommodations are available to applicants with disabilities upon request during the recruitment process.

Other details
Pay Type
Salary",4.5,"Empire Communities
4.5",Vaughan,Canada,"Vaughan, Canada",501 to 1000 employees,1993,Company - Private,Building & Construction,"Building, Repair & Maintenance",Unknown / Non-Applicable,-1,0,0,30,61,45.5,"Empire Communities
",27,0,0,1,0,na,na
